time,event,$element_content,$is_first_day,$is_first_time,$latest_traffic_source_type,$referrer,filename,filevalue,$url_path,page_name,mp,channel
45:33.5,$pageview,,1,1,自然搜索流量,https://www.google.com/,Space_Detail,YiDrone,/space/4458700002-price.html,YiDrone,,
45:33.5,ModuleView,,1,,自然搜索流量,https://www.google.com/,Space_Module_FindProject,YiDrone,/space/4458700002-price.html,YiDrone详情页面,,
45:36.6,$WebClick,申请试用,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
45:36.7,WebClick,,1,,自然搜索流量,https://www.google.com/,Space_Trial,trial,/space/4458700002-price.html,YiDrone详情页面,,
45:38.1,$WebClick,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
45:57.3,$WebClick,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:02.4,$WebClick,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:02.9,$WebClick,发送验证码,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:21.2,$WebClick,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:24.7,$WebClick,立即申请,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:24.9,SubmitResult,,1,,自然搜索流量,https://www.google.com/,Submit_Trial_Success,YiDrone,/space/4458700002-price.html,YiDrone详情页面,,
46:27.4,$WebClick,调研家 4.5 1条评论 一家专注市场调查、数据收集与分析、数据可视化的SaaS公司。,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
46:28.6,$pageview,,1,0,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Space_Detail,调研家,/space/4802500024,调研家,,
46:28.8,ModuleView,,1,,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Space_Module_FindProject,调研家,/space/4802500024,调研家详情页面,,
46:32.6,$WebStay,,1,,自然搜索流量,,,,/space/4802500024,,,
46:40.3,$WebClick,申请试用,1,,自然搜索流量,,,,/space/4802500024,,,
46:40.4,WebClick,,1,,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Space_Trial,trial,/space/4802500024,调研家详情页面,,
46:42.6,SubmitResult,,1,,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Submit_Trial_Cancel,调研家,/space/4802500024,调研家详情页面,,
46:58.5,$WebStay,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
47:01.2,$WebClick,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
47:03.5,$pageview,,1,0,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Space_Detail,调研家,/space/4802500024,调研家,,
47:03.5,ModuleView,,1,,自然搜索流量,https://www.36dianping.com/space/4458700002-price.html,Space_Module_FindProject,调研家,/space/4802500024,调研家详情页面,,
48:35.5,$WebStay,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
48:39.8,$WebStay,,1,,自然搜索流量,,,,/space/4802500024,,,
48:49.1,$WebStay,,1,,自然搜索流量,,,,/space/4458700002-price.html,,,
48:49.4,$WebStay,,1,,自然搜索流量,,,,/space/4802500024,,,
48:49.8,$WebStay,,1,,自然搜索流量,,,,/space/4802500024,,,
